"paperID"	"author1"	"year"	"title"	"journal"	"liao"	"vila"	"castroDiez"	"sourceOverlap"	"nObs"	"ammonif"	"nh"	"nitrif"	"nminz"	"no"	"soilcn"	"soiln"	"som"	"toti"
"50"	117	"Maron"	1999	"\"Bush lupine mortality, altered resource availability, and alternative vegetation states\""	"ECOLOGY"	NA	NA	"Yes"	"PaperInPreviousMeta"	2	0	2	0	2	2	2	2	2	0
"51"	119	"Suding"	2004	"Competitive impacts and responses of an invasive weed: dependencies on nitrogen and phosphorus availability"	"OECOLOGIA"	NA	"Yes"	NA	"PaperInPreviousMeta"	1	0	0	0	1	0	0	0	0	1
"52"	121	"Monaco"	2003	"Contrasting responses of intermountain west grasses to soil nitrogen"	"JOURNAL OF RANGE MANAGEMENT"	NA	NA	NA	"NewPaper"	10	0	0	0	0	10	0	0	0	0
"53"	137	"Rossiter-Rachor"	2009	"Invasive Andropogon gayanus (gamba grass) is an ecosystem transformer of nitrogen relations in Australian savanna"	"ECOLOGICAL APPLICATIONS"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	1	1	1	0	1	0	1	0	0
"54"	144	"Cheng"	2006	"Short-term C-4 plant Spartina alterniflora invasions change the soil carbon in C-3 plant-dominated tidal wetlands on a growing estuarine Island"	"SOIL BIOLOGY & BIOCHEMISTRY"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	1	1	1	0
"55"	148	"HilleRisLambers"	2010	"California annual grass invaders: the drivers or passengers of change?"	"JOURNAL OF ECOLOGY"	NA	NA	NA	"NewPaper"	30	0	0	0	0	0	0	0	0	30
"56"	156	"Aguilera"	2010	"Impacts of the invasive plant Fallopia japonica (Houtt.) on plant communities and ecosystem processes"	"BIOLOGICAL INVASIONS"	NA	NA	NA	"NewPaper"	1	1	0	1	1	0	1	1	0	0
"57"	159	"Hooker"	2008	"\"Distribution of ecosystem C and N within contrasting vegetation types in a semiarid rangeland in the Great Basin, USA\""	"BIOGEOCHEMISTRY"	NA	NA	NA	"NewPaper"	2	0	2	0	0	2	2	2	0	0
"58"	161	"Malcolm"	2008	"Soil nitrogen conditions approach preinvasion levels following restoration of nitrogen-fixing black locust (Robinia pseudoacacia) stands in a pine-oak ecosystem"	"RESTORATION ECOLOGY"	NA	NA	NA	"NewPaper"	4	0	0	4	4	0	0	4	4	0
"59"	164	"Haubensak"	2004	"Soil changes accompanying invasion of the exotic shrub Cytisus scoparius in glacial outwash prairies of western Washington [USA]"	"PLANT ECOLOGY"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	1	1	0	1	1	0	0
"60"	167	"Castro-Diez"	2009	"Effects of exotic invasive trees on nitrogen cycling: a case study in Central Spain"	"BIOLOGICAL INVASIONS"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	2	2	2	2	2	2	0	0	2	2
"61"	176	"LeJeune"	2006	"Nutrient availability does not explain invasion and dominance of a mixed grass prairie by the exotic forb Centaurea diffusa Lam."	"APPLIED SOIL ECOLOGY"	NA	NA	NA	"NewPaper"	1	0	1	1	1	1	1	1	0	0
"62"	181	"Chen"	2009	"Effects of the invasive plant Mikania micrantha HBK on soil nitrogen availability through allelopathy in South China"	"BIOLOGICAL INVASIONS"	NA	"Yes"	NA	"PaperInPreviousMeta"	1	0	1	1	1	1	1	1	0	0
"63"	188	"Sharma"	2009	"Lantana invasion alters soil nitrogen pools and processes in the tropical dry deciduous forest of India"	"APPLIED SOIL ECOLOGY"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	1	0	1	1	0	1	1	0	1
"64"	191	"Elgersma"	2011	"\"Legacy effects overwhelm the short-term effects of exotic plant invasion and restoration on soil microbial community structure, enzyme activities, and nitrogen cycling\""	"OECOLOGIA"	NA	NA	NA	"NewPaper"	2	2	0	2	0	0	0	0	0	0
"65"	196	"Symstad"	2004	"Secondary invasion following the reduction of Coronilla varia (Crownvetch) in sand prairie"	"AMERICAN MIDLAND NATURALIST"	NA	NA	NA	"NewPaper"	2	0	0	0	0	0	0	2	0	0
"66"	199	"Shaben"	2010	"\"Relationships between Scotch broom (Cytisus scoparius), soil nutrients, and plant diversity in the Garry oak savannah ecosystem\""	"PLANT ECOLOGY"	NA	NA	"Yes"	"PaperInPreviousMeta"	2	0	1	0	0	1	2	2	0	1
"67"	203	"Wolf"	2004	"Soil characteristics of Rocky Mountain National Park grasslands invaded by Melilotus officinalis and M-alba"	"JOURNAL OF BIOGEOGRAPHY"	NA	"Yes"	NA	"PaperInPreviousMeta"	1	1	1	1	0	1	1	0	0	0
"68"	204	"Zhang"	2010	"Changes in soil organic carbon dynamics in an Eastern Chinese coastal wetland following invasion by a C-4 plant Spartina alterniflora"	"SOIL BIOLOGY & BIOCHEMISTRY"	NA	NA	NA	"NewPaper"	3	0	0	0	0	0	3	3	0	0
"69"	205	"Yelenik"	2010	"Native shrub reestablishment in exotic annual grasslands: Do ecosystem processes recover?"	"ECOLOGICAL APPLICATIONS"	NA	NA	NA	"NewPaper"	4	2	0	2	2	0	0	0	2	4
"70"	211	"Domenech"	2006	"\"Neighbourhood association of Cortaderia selloana invasion, soil properties and plant community structure in Mediterranean coastal grasslands\""	"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY"	NA	"Yes"	NA	"PaperInPreviousMeta"	1	0	0	0	0	0	1	1	0	0
"71"	222	"DeCant"	2008	"\"RUSSIAN OLIVE, ELAEAGNUS ANGUSTIFOLIA, ALTERS PATTERNS IN SOIL NITROGEN POOLS ALONG THE RIO GRANDE RIVER, NEW MEXICO, USA\""	"WETLANDS"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	0	0	0	0	0	0	1	1	1
"72"	229	"Peng"	2011	"\"Spartina alterniflora invasion increases soil inorganic nitrogen pools through interactions with tidal subsidies in the Yangtze Estuary, China\""	"OECOLOGIA"	NA	NA	NA	"NewPaper"	1	1	1	1	0	1	0	0	0	1
"73"	233	"Thorpe"	2011	"Biogeographic differences in the effects of Centaurea stoebe on the soil nitrogen cycle: novel weapons and soil microbes"	"BIOLOGICAL INVASIONS"	NA	NA	NA	"NewPaper"	4	0	3	1	0	3	0	0	0	0
"74"	235	"Timsina"	2011	"Impact of Parthenium hysterophorus L. invasion on plant species composition and soil properties of grassland communities in Nepal"	"FLORA"	NA	NA	NA	"NewPaper"	2	0	0	0	0	0	0	2	2	0
"75"	236	"DeMeester"	2010	"Differences in wetland nitrogen cycling between the invasive grass Microstegium vimineum and a diverse plant community"	"ECOLOGICAL APPLICATIONS"	NA	NA	NA	"NewPaper"	1	1	1	1	1	1	0	0	0	1
"76"	238	"Nosshi"	2007	"Soil nitrogen mineralization not affected by grass species traits"	"SOIL BIOLOGY & BIOCHEMISTRY"	NA	NA	"Yes"	"PaperInPreviousMeta"	6	0	0	0	6	0	6	6	0	6
"77"	239	"Yelenik"	2013	"Self-reinforcing impacts of plant invasions change over time"	"NATURE"	NA	NA	NA	"NewPaper"	1	0	0	0	1	0	0	0	0	0
"78"	242	"McGlone"	2011	"\"Invasion resistance and persistence: established plants win, even with disturbance and high propagule pressure\""	"BIOLOGICAL INVASIONS"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	1	0	0
"79"	247	"Tharayil"	2013	"Phenolic inputs by invasive species could impart seasonal variations in nitrogen pools in the introduced soils: A case study with Polygonum cuspidatum"	"SOIL BIOLOGY & BIOCHEMISTRY"	NA	NA	NA	"NewPaper"	1	0	1	0	1	1	0	0	0	0
"80"	248	"Schaeffer"	2012	"Effects of Bromus tectorum invasion on microbial carbon and nitrogen cycling in two adjacent undisturbed arid grassland communities"	"BIOGEOCHEMISTRY"	NA	NA	NA	"NewPaper"	2	2	0	2	2	0	2	2	0	2
"81"	249	"Lee"	2012	"Positive feedbacks to growth of an invasive grass through alteration of nitrogen cycling"	"OECOLOGIA"	NA	NA	NA	"NewPaper"	4	4	4	4	4	4	0	0	1	4
"82"	258	"Hamman"	2013	"Biogeochemical and Microbial Legacies of Non-Native Grasses Can Affect Restoration Success"	"RESTORATION ECOLOGY"	NA	NA	NA	"NewPaper"	4	0	0	0	0	0	0	0	0	4
"83"	263	"Yu"	2014	"Impacts of Ageratina adenophora invasion on soil physical-chemical properties of Eucalyptus plantation and implications for constructing agro-forest ecosystem"	"ECOLOGICAL ENGINEERING"	NA	NA	NA	"NewPaper"	12	0	0	0	0	0	0	12	12	12
"84"	265	"Jaeger"	2013	"Ecosystem changes in Galapagos highlands by the invasive tree Cinchona pubescens"	"PLANT AND SOIL"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	1	1	0	0
"85"	268	"Dickens"	2013	"Exotic annuals reduce soil heterogeneity in coastal sage scrub soil chemical and biological characteristics"	"SOIL BIOLOGY & BIOCHEMISTRY"	NA	NA	NA	"NewPaper"	3	0	3	0	0	3	3	3	0	0
"86"	282	"Lyons"	2013	"Community and Ecosystem Effects of Buffelgrass (Pennisetum ciliare) and Nitrogen Deposition in the Sonoran Desert"	"INVASIVE PLANT SCIENCE AND MANAGEMENT"	NA	NA	NA	"NewPaper"	2	2	0	2	0	0	0	0	0	0
"87"	293	"Dickens"	2014	"Soil nitrogen cycling is resilient to invasive annuals following restoration of coastal sage scrub"	"JOURNAL OF ARID ENVIRONMENTS"	NA	NA	NA	"NewPaper"	2	2	2	2	0	2	1	1	0	2
"88"	295	"Staska"	2014	"Density and age of invasive Robinia pseudoacacia modulate its impact on floodplain forests"	"BASIC AND APPLIED ECOLOGY"	NA	NA	NA	"NewPaper"	3	0	0	0	0	3	3	3	0	0
"89"	299	"Cusack"	2014	"Patterns in understory woody diversity and soil nitrogen across native- and non-native-urban tropical forests"	"FOREST ECOLOGY AND MANAGEMENT"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	1	1	0	1
"90"	305	"Hickman"	2013	"Biogeochemical impacts of the northward expansion of kudzu under climate change: the importance of ecological context"	"ECOSPHERE"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	0	1	1	1	1	0	0	0	0
"91"	306	"Von Holle"	2013	"Ecosystem legacy of the introduced N-2-fixing tree Robinia pseudoacacia in a coastal forest"	"OECOLOGIA"	NA	NA	NA	"NewPaper"	2	0	2	0	0	2	0	0	0	0
"92"	307	"Irl"	2013	"\"Papaver croceum Ledeb.: a rare example of an alien species in alpine environments of the Upper Engadine, Switzerland\""	"ALPINE BOTANY"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	1	0	0	0
"93"	311	"Corbin"	2011	"Abundance and productivity mediate invader effects on nitrogen dynamics in a California grassland"	"ECOSPHERE"	NA	NA	"Yes"	"PaperInPreviousMeta"	4	0	4	4	4	4	0	0	0	4
"94"	315	"Schlesinger"	1996	"On the spatial pattern of soil nutrients in desert ecosystems"	"ECOLOGY"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	0	0	0	1
